iter	Passed	Remaining
0	5	5079
1	8	4120
2	11	3841
3	15	3892
4	20	3980
5	25	4212
6	29	4188
7	33	4116
8	36	3977
9	39	3931
10	42	3859
11	46	3825
12	50	3797
13	56	3960
14	60	3963
15	65	4030
16	70	4100
17	75	4132
18	79	4085
19	85	4194
20	93	4339
21	98	4377
22	102	4375
23	106	4351
24	110	4293
25	113	4242
26	117	4223
27	120	4176
28	123	4136
29	128	4152
30	133	4163
31	138	4199
32	143	4196
33	146	4166
34	151	4172
35	156	4191
36	163	4263
37	169	4294
38	173	4285
39	178	4278
40	183	4283
41	187	4274
42	191	4267
43	195	4236
44	199	4227
45	202	4200
46	205	4172
47	212	4212
48	219	4250
49	227	4321
50	230	4293
51	233	4265
52	237	4238
53	242	4244
54	247	4257
55	252	4260
56	257	4251
57	260	4238
58	267	4260
59	272	4262
60	276	4248
61	279	4234
62	283	4213
63	287	4198
64	292	4203
65	295	4188
66	301	4198
67	306	4198
68	311	4196
69	314	4181
70	318	4171
71	324	4188
72	330	4196
73	336	4208
74	340	4205
75	345	4197
76	348	4176
77	351	4156
78	354	4136
79	358	4117
80	362	4110
81	365	4095
82	369	4076
83	372	4062
84	376	4055
85	381	4049
86	387	4066
87	391	4059
88	396	4058
89	400	4044
90	404	4040
91	408	4034
92	413	4031
93	414	3998
94	420	4003
95	424	4001
96	428	3985
97	432	3978
98	435	3964
99	439	3953
100	443	3945
101	448	3945
102	453	3948
103	458	3953
104	464	3958
105	469	3956
106	473	3951
107	477	3945
108	481	3939
109	486	3939
110	491	3939
111	497	3945
112	502	3941
113	506	3933
114	510	3926
115	514	3918
116	519	3922
117	523	3913
118	526	3900
119	530	3892
120	534	3885
121	538	3878
122	544	3882
123	547	3870
124	552	3867
125	557	3865
126	563	3870
127	568	3874
128	574	3876
129	578	3870
130	583	3867
131	586	3858
132	590	3850
133	594	3839
134	597	3828
135	602	3828
136	609	3839
137	613	3831
138	619	3836
139	623	3828
140	626	3817
141	631	3817
142	636	3814
143	641	3813
144	645	3806
145	650	3805
146	654	3795
147	657	3786
148	661	3777
149	666	3777
150	673	3784
151	677	3779
152	681	3775
153	685	3766
154	689	3760
155	694	3756
156	700	3762
157	705	3759
158	711	3764
159	717	3766
160	722	3762
161	726	3759
162	732	3759
163	738	3766
164	742	3756
165	747	3755
166	752	3752
167	756	3748
168	760	3737
169	764	3732
170	768	3724
171	773	3724
172	778	3721
173	783	3719
174	788	3716
175	791	3707
176	799	3715
177	804	3713
178	808	3706
179	813	3703
180	816	3694
181	820	3688
182	824	3678
183	827	3671
184	831	3665
185	839	3676
186	844	3669
187	849	3670
188	853	3661
189	857	3654
190	861	3647
191	867	3649
192	873	3650
193	880	3656
194	885	3654
195	889	3649
196	893	3643
197	897	3636
198	901	3627
199	904	3618
200	908	3612
201	912	3606
202	920	3613
203	925	3610
204	929	3606
205	934	3600
206	938	3596
207	945	3601
208	950	3598
209	954	3591
210	960	3593
211	967	3597
212	971	3588
213	976	3585
214	981	3584
215	986	3581
216	991	3577
217	995	3572
218	999	3564
219	1003	3556
220	1006	3549
221	1011	3543
222	1016	3540
223	1021	3539
224	1026	3536
225	1031	3531
226	1034	3523
227	1039	3520
228	1045	3519
229	1050	3518
230	1055	3513
231	1059	3507
232	1065	3506
233	1069	3499
234	1073	3493
235	1076	3486
236	1081	3480
237	1085	3476
238	1091	3476
239	1097	3474
240	1102	3470
241	1105	3464
242	1110	3459
243	1114	3454
244	1121	3457
245	1126	3452
246	1130	3447
247	1136	3447
248	1141	3442
249	1146	3438
250	1150	3433
251	1155	3429
252	1160	3425
253	1164	3421
254	1170	3418
255	1174	3412
256	1178	3406
257	1183	3404
258	1189	3402
259	1194	3398
260	1198	3394
261	1203	3389
262	1208	3386
263	1215	3388
264	1219	3382
265	1224	3378
266	1228	3371
267	1232	3366
268	1239	3367
269	1243	3361
270	1248	3357
271	1253	3355
272	1257	3348
273	1262	3344
274	1266	3339
275	1270	3332
276	1273	3324
277	1276	3315
278	1280	3307
279	1285	3304
280	1290	3301
281	1294	3295
282	1297	3288
283	1302	3283
284	1308	3283
285	1312	3277
286	1317	3273
287	1321	3267
288	1325	3260
289	1328	3252
290	1332	3247
291	1339	3246
292	1343	3242
293	1347	3235
294	1351	3230
295	1356	3225
296	1360	3219
297	1368	3223
298	1373	3219
299	1378	3216
300	1383	3212
301	1387	3207
302	1392	3203
303	1397	3198
